offerId,hotel_name,image,stars,country,city,start_date,end_date,max_adults,max_children_to_3,max_children_to_10,max_children_to_18,meals,price,room_type,discount,available
0,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-09-23,2023-09-30,4,1,0,1,breakfast_lunch,1.00,Suite,0,true
1,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-06-17,2023-07-01,4,1,1,1,breakfast_only,1.00,Suite,0,true
2,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-16,2023-03-23,2,1,2,1,breakfast_only,1.00,Room,0,true
3,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-10-07,2023-10-17,4,1,1,1,breakfast_only,1.00,Suite,0,true
4,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-08-27,2023-09-03,1,1,2,1,breakfast_only,1.00,Suite,0,true
5,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-12-30,2024-01-06,4,0,2,1,all_inclusive,1.00,Studio,0,true
6,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-10-15,2023-10-29,1,2,0,2,all_inclusive,1.00,Villa,0,true
7,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-05-31,2023-06-10,4,1,2,2,breakfast_only,1.00,Suite,0,true
8,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-07-30,2023-08-06,3,0,2,0,breakfast_lunch,1.00,Studio,0,true
9,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,2023-03-26,2023-04-05,4,0,2,1,all_inclusive,1.00,Villa,0,true
