offerId,hotel_name,image,stars,country,city,start_date,end_date,max_adults,max_children_to_3,max_children_to_10,max_children_to_18,meals,room_type,price,available
647b31ab6d07a51c408a76c5,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,24/06/2023,04/07/2023,3,0,2,1,breakfastAndDinner,medium,26125,true
647b31ab6d07a51c408a76c6,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,29/12/2023,08/01/2024,4,0,2,0,breakfastAndDinner,apartment,27500,true
647b31ab6d07a51c408a76c7,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,19/01/2023,26/01/2023,4,2,2,2,onlyBreakfast,apartment,24500,true
647b31ac6d07a51c408a76c8,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,15/05/2023,22/05/2023,3,1,0,1,breakfastAndDinner,apartment,15400,true
647b31ac6d07a51c408a76c9,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,17/08/2023,24/08/2023,3,0,1,0,allInclusive,large,15312.5,true
647b31ac6d07a51c408a76ca,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,06/05/2023,13/05/2023,1,0,2,2,breakfastAndDinner,small,13475,true
647b31ac6d07a51c408a76cb,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,14/02/2023,21/02/2023,4,0,0,2,onlyBreakfast,medium,19250,true
647b31ad6d07a51c408a76cc,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,12/01/2023,19/01/2023,1,1,2,1,allInclusive,medium,13125,true
647b31ad6d07a51c408a76cd,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,18/08/2023,01/09/2023,2,0,2,2,breakfastAndDinner,studio,34650,true
647b31ad6d07a51c408a76ce,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,20/03/2023,27/03/2023,3,0,2,1,breakfastAndDinner,large,18287.5,true
647b31ad6d07a51c408a76cf,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,27/08/2023,06/09/2023,3,2,1,2,onlyBreakfast,apartment,27500,true
647b31ae6d07a51c408a76d0,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,18/06/2023,02/07/2023,1,0,2,1,onlyBreakfast,apartment,19250,true
647b31ae6d07a51c408a76d1,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,05/08/2023,19/08/2023,2,1,2,1,onlyBreakfast,studio,28000,true
647b31ae6d07a51c408a76d2,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,13/07/2023,20/07/2023,2,0,1,0,breakfastAndDinner,large,9625,true
647b31ae6d07a51c408a76d3,LION ,https://www.coraltravel.pl/hotels_min/10/11851/6575/bułgaria-burgas-lion-wokol-basss.jpg,4,Bułgaria,Burgas,18/02/2023,04/03/2023,2,2,1,2,allInclusive,studio,39375,true
